type_id,name_en,name_zh,category,subcategory,product_role,operating_principle,primary_media,primary_applications,pharma_relevance,pharma_applications,lifecycle_status,china_visibility,global_product_url,china_product_url,english_datasheet_url,chinese_datasheet_url,accessed_date,evidence_grade,notes
0201,Direct-acting 2/2-way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"Type 201 is a normally-closed direct-acting plunger-type solenoid valve. Direct-acting, Sub-base When energized, the solenoid armatureis drawn in against a spring to open the valve. The solenoid epoxy encapsulation efficiently dissipates the heat generated by the coil.",,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0201,https://www.burkert.com.cn/cn/type/0201,https://www.burkert.com/en/Media/plm/DTS/DS/ds0201-standard-eu-en.pdf?id=DTS0000000000000001000010915ENA,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0211,Direct-acting 2/2-way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,,,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0211,https://www.burkert.com.cn/cn/type/0211,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0212,Direct-acting 2/2-way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,,,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0212,https://www.burkert.com.cn/cn/type/0212,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0243,Direct-acting 2/2 way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,,,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0243,https://www.burkert.com.cn/cn/type/0243,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0248,Motor ball valve,电动球阀,过程与控制阀,Control Valves > Ball Valves > Electromotive,Electromotive,"The complete ball valve Type 0248 consists of an electromotive rotary actuator and a 2/2-way mini ball valve. The connection between the actuator and the ball valve is achieved by a mechanical interface (flange connection). The electromotive rotary actuator moves the ball valve by 90° and opens or closes the cable cross-section. The ball valve Type 0248 has a compact design. It can be used for a wide range of applications with relatively low flow rates, e.g. as a final control element for heating or cooling water circuits in commercial and amphibian vehicles as well as in machine tool construction. Type 0248 can optionally be supplied with a position indicator.",水,Control Valves > Ball Valves > Electromotive,MEDIUM,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0248,https://www.burkert.com.cn/cn/type/0248,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Process and Control Valves > Control Valves > Ball Valves > Electromotive | Electromotive Valves > Ball Valves > Control | Process and Control Valves > Shut-off Valves (On/Off) > Ball Valves > Electromotive | Electromotive Valves > Ball Valves > ON/OFF."
0253,"2/2-way solenoid valve, direct-acting",二位二通电磁阀，直动式,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"Type 253 is a 2/2 normally-closed plunger-type solenoid valve. When energized, the solenoid armature is pulled-in against a spring and the valve opens. Direct-acting, G 1/4 as a standard feature, the valve seat is made of stainless steel in order to avoid erosion.The solenoid epoxy encapsulation efficiently dissipates the heat generated by the coil.",液体/气体,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0253,https://www.burkert.com.cn/cn/type/0253,https://www.burkert.com/en/Media/plm/DTS/DS/ds0253-standard-eu-en.pdf?id=DTS0000000000000001000010916ENA,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0255,Direct-acting 2/2-way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,Steam Solenoid Valves,Steam Solenoid Valves,The direct-acting plunger solenoid valve Type 0255 is also suitable for high pressures and high temperatures.,蒸汽,Steam Solenoid Valves,LOW,,CURRENT,CHINA_PAGE_AND_ZH_DATASHEET,https://www.burkert.com/en/type/0255,https://www.burkert.com.cn/cn/type/0255,https://www.burkert.com/en/Media/plm/DTS/DS/ds0255-standard-eu-en.pdf?id=DTS0000000000000001000010917ENS,https://www.burkert.com/en/Media/plm/DTS/DS/ds0255-standard-cn-zh.pdf?id=DTS0000000000000001000721768ZH-,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > Steam Solenoid Valves | Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > Cryogenic."
0256,Direct-acting 2/2-way solenoid valve,二位二通电磁阀；直动式；适合中性介质,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,This direct-acting plunger solenoid valve Type 0256 can be used in many ways. It is delivered with brass or stainless steel bodies for a wide range of orifices and connections.,,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_AND_ZH_DATASHEET,https://www.burkert.com/en/type/0256,https://www.burkert.com.cn/cn/type/0256,https://www.burkert.com/en/Media/plm/DTS/DS/ds0256-standard-eu-en.pdf?id=DTS0000000000000001000010918ENK,https://www.burkert.com/en/Media/plm/DTS/DS/ds0256-standard-cn-zh.pdf?id=DTS0000000000000001000659664ZHC,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0262,Pneumatically operated 2/2 way Valve,气动操作的二位二通阀,过程与控制阀,Shut-off Valves (On/Off) > Globe Valves > Pneumatic,Pneumatic,The externally piloted 2-way valve is operated by a diaphragm actuator. A double spindle seal guarantees high tightness and a high service live. The compact actuator housing is made out of chemical resistant plastic and ideal for customer specific multifunction block solutions. This low maintenance and robust valve can be supplemented by a large accessory program.,蒸汽,Shut-off Valves (On/Off) > Globe Valves > Pneumatic,MEDIUM,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0262,https://www.burkert.com.cn/cn/type/0262,https://www.burkert.com/en/Media/plm/DTS/DS/ds0262-standard-eu-en.pdf?id=DTS0000000000000001000010919ENJ,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Process and Control Valves > Shut-off Valves (On/Off) > Globe Valves > Pneumatic | Process and Control Valves > Shut-off Valves (On/Off) > Diaphragm Valves > Pneumatic."
0263,Pneumatically operated 2/2-way valve with separating diaphragm,气动操作的二位二通阀，带有隔膜,过程与控制阀,Shut-off Valves (On/Off) > Globe Valves > Pneumatic,Pneumatic,The externally piloted 2-way valve is operated by a diaphragm actuator. A diaphragm between valve body and actuator separates the media. A double packing gland guarantees high tightness and a high service live. The compact actuator housing is made out of chemical resistant plastic and is ideal for customer specific multifunction block solutions. This low maintenance and robust valve can be supplemented by a large accessory program.,,Shut-off Valves (On/Off) > Globe Valves > Pneumatic,MEDIUM,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0263,https://www.burkert.com.cn/cn/type/0263,https://www.burkert.com/en/Media/plm/DTS/DS/ds0263-standard-eu-en.pdf?id=DTS0000000000000001000193675ENI,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Process and Control Valves > Shut-off Valves (On/Off) > Globe Valves > Pneumatic | Process and Control Valves > Shut-off Valves (On/Off) > Diaphragm Valves > Pneumatic."
0280,Diaphragm valve 2/2 way servo-assisted,伺服控制的二位二通隔膜阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"Type 280 is a normally closed or normally open servo-assisted solenoid valve (circuit functions A and B). For circuit function A, the valve is normally closed by spring action assisted by the fluid pressure. When de-energized, a pressure is built up above the servo diaphragm pressing it down to close the valve. When energized, the space above the servo diaphragm is exhausted via the pilot valve, the diaphragm is lifted by the fluid pressure to open the valve. G 1/4, G 3/8, G 1/2 Circuit function B, normally open, provides the opposite function. It is important to note that the media is exhausted to atmosphere via the pilot operator when the valve is deenergised. The solenoid epoxy encapsulation efficiently dissipates the heat generated by the coil.",液体/气体,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0280,https://www.burkert.com.cn/cn/type/0280,https://www.burkert.com/en/Media/plm/DTS/DS/ds0280-standard-eu-en.pdf?id=DTS0000000000000001000010920ENA,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0283,Direct-acting 2/2-way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,Type 283 switches without pressure change from zero bar. The direct acting solenoid feed valve is delivered with circuit function A. It is normally closed. Upon switching the magnetic core is tightened against the spring and the valve opens. A fi lter is built-in to the inlet. The valve is especially good for switching lowpressure combustible gases.,气体,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0283,https://www.burkert.com.cn/cn/type/0283,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0285,Direct-acting 2/2 way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"The direct acting plunger solenoid valve Type 0285 is normally closed by spring force. During switching the core of the seal is tightened against the spring force, and opens the valve. The inlet has a gauze fi lter fi tted. The valve is delivered as standard with a bracket fi tment. Type 0285 is best suited to fl ammable gases.",气体,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0285,https://www.burkert.com.cn/cn/type/0285,https://www.burkert.com/en/Media/plm/DTS/DS/ds0285-dvgw-eu-en.pdf?id=DTS0000000000000001000178266ENH,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0286,Direct-acting 2/2 way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,,,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0286,https://www.burkert.com.cn/cn/type/0286,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0287,2/2-way solenoid valve for neutral media,用于中性介质的两位两通电磁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"The Type 0287 is a servo-assisted 2/2-way valve. The modular stackable valve can be obtained as a distributor or collector variant in DN 13. It is suitable for neutral media, such as compressed air or water.",空气；水；中性介质,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_AND_ZH_DATASHEET,https://www.burkert.com/en/type/0287,https://www.burkert.com.cn/cn/type/0287,https://www.burkert.com/en/Media/plm/DTS/DS/ds0287-standard-eu-en.pdf?id=DTS0000000000000001000551788ENC,https://www.burkert.com/en/Media/plm/DTS/DS/ds0287-standard-cn-zh.pdf?id=DTS0000000000000001000713675ZHB,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0290,Servo-assisted 2/2-way diaphragm valve,伺服控制式两位两通隔膜阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,Valve 0290 is a servo-assisted diaphragm valve. The valve opens without differential pressure. The opening process is facilitated by the fix-coupling of the diaphragm to the magnetic core. The integrated ‘soft-kick’ function ensures gentle opening. Various diaphragm materials are available depending on the actual application. The range includes variants with a stainless steel body. The solenoid coils are moulded with an epoxy that has a high level of chemical resistance. Kick and drop electronics are moulded into all DC solenoid variants for reduced electrical power consumption.,,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_AND_ZH_DATASHEET,https://www.burkert.com/en/type/0290,https://www.burkert.com.cn/cn/type/0290,https://www.burkert.com/en/Media/plm/DTS/DS/ds0290-standard-eu-en.pdf?id=DTS0000000000000001000024859ENZ,https://www.burkert.com/en/Media/plm/DTS/DS/ds0290-standard-cn-zh.pdf?id=DTS0000000000000001000673542ZHB,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids | Solenoid Valves > Water Solenoid Valves."
0293,Direct-acting 2/2-way plunger valve,直动式二位二通升降式衔铁阀,电磁阀,General Purpose 2/2 Solenoids,General Purpose 2/2 Solenoids,"Type 0293 switches without pressure difference from zero bar. The valve is especially good for switching low-pressure combustible gases.The direct-acting solenoid valve is delivered with circuit function A. It is normally closed. Upon switching, the magnetic core is tightened against the spring and the valve opens. A filter is built-in to the inlet. A dirt trap <= 500 µm (example our type TFU001) needs to be installed before the valve when using DN 25. This dirt trap needs to be accessible for maintenance.",气体,General Purpose 2/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0293,https://www.burkert.com.cn/cn/type/0293,https://www.burkert.com/en/Media/plm/DTS/DS/ds0293-standard-eu-en.pdf?id=DTS0000000000000001000204244ENH,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 2/2 Solenoids."
0300,Direct-acting 3/2-way plunger valve,直动式二位三通升降式衔铁阀,电磁阀,General Purpose 3/2 Solenoids,General Purpose 3/2 Solenoids,"Type 300 is a direct-actingplunger-type solenoid valve available in a variety of different circuit functions, to suit there spective application. When energized, the solenoid armature is drawn against a spring. The solenoid epoxy encapsulation efficiently dissipates the heat generated by the coil. The valve is available in brass (stainless steel on request). Electrical connections are DIN-plug ore leads. Specific testing and cleaning and low power versions are available on request.",,General Purpose 3/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0300,https://www.burkert.com.cn/cn/type/0300,https://www.burkert.com/en/Media/plm/DTS/DS/ds0300-standard-eu-en.pdf?id=DTS0000000000000001000010921ENA,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 3/2 Solenoids | Process and Control Valves > Process Valve Automation > External (Banjo) Pilots."
0301,Direct-acting 3/2-way plunger valve,直动式二位三通升降式衔铁阀,电磁阀,General Purpose 3/2 Solenoids,General Purpose 3/2 Solenoids,"Type 301 is available in a variety of different circuit functions for different applications. When energized, the solenoid armature is drawn against a spring. The flow path through the valve is dependent on the chosen circuit function. The solenoid epoxy encapsulation efficiently dissipates the heat generated by the coil.",,General Purpose 3/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0301,https://www.burkert.com.cn/cn/type/0301,https://www.burkert.com/en/Media/plm/DTS/DS/ds0301-standard-eu-en.pdf?id=DTS0000000000000001000010923ENA,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 3/2 Solenoids."
0303,Direct-acting 3/2-way plunger valve,直动式二位三通升降式衔铁阀,电磁阀,General Purpose 3/2 Solenoids,General Purpose 3/2 Solenoids,,,General Purpose 3/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0303,https://www.burkert.com.cn/cn/type/0303,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 3/2 Solenoids."
0304,Direct-acting 3/2-way plunger valve,直动式二位三通升降式衔铁阀,电磁阀,General Purpose 3/2 Solenoids,General Purpose 3/2 Solenoids,,,General Purpose 3/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0304,https://www.burkert.com.cn/cn/type/0304,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 3/2 Solenoids."
0311,Direct-acting 3/2-way plunger valve,直动式二位三通升降式衔铁阀,电磁阀,General Purpose 3/2 Solenoids,General Purpose 3/2 Solenoids,,,General Purpose 3/2 Solenoids,LOW,,CURRENT,CHINA_PAGE_ONLY,https://www.burkert.com/en/type/0311,https://www.burkert.com.cn/cn/type/0311,,,2026-06-09,A,"Global official Type page is the product master. China visibility indicates public page/document visibility only, not stock, origin or lead time. Official category paths: Solenoid Valves > General Purpose 3/2 Solenoids."
