series_id,name_en,category,subcategory,product_role,actuation,pharma_relevance,pharma_applications,key_features,operating_pressure,media_temperature,sterilization_temperature,nominal_sizes,body_materials,seal_or_diaphragm_materials,connections,conformities,protocols,official_url,accessed_date,evidence_grade,notes
811,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option | Corrosion-resistant plastic parts",,,,,,,,,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/811,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
815,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option | Corrosion-resistant plastic parts",,,,,,,,,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/815,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
816,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/816,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
817,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | ATEX version available as an option | Over 500 standard scales and 13,000 special scales are available with further scales on request | Corrosion-resistant plastic parts",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/817,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
820,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option | Corrosion-resistant plastic parts",0 to 15 bar,-20 to 120 °C,,DN 20 to 50,,,Flange Spigot Union end,ATEX FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/820,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
822,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option | Corrosion-resistant plastic parts",0 to 15 bar,-20 to 120 °C,,DN 50 to 50,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/822,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
825,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Suitable for gaseous and liquid media | Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/825,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
830,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Over 500 standard scales and 13,000 special scales are available with further scales on request | Clear and large size printed scale | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 50,,,Flange Spigot Union end,ATEX FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/830,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
831,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/831,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
832,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Suitable for gaseous and liquid media | Good level of accuracy, simple operation | Over 500 standard scales and 13,000 special scales are available with further scales on request | Clear and large size printed scale | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/832,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
835,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Special scales available, further scaling options can be implemented at any time | Clear and large size printed scale | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 20 to 65,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/835,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
840,Partial flow variable area flow meter,Measurement And Control Technology,Flow Meters,Partial flow variable area flow meter,manual,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Large measuring range available (depending on aperture diameter) | Part flow metering tube can also be easily replaced without downtime | Impact resistant, corrosion resistant",0 to 10 bar,5 to 90 °C,,DN 65 to 65,,,Spigot,,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/840,2026-06-09,A,"Official page description: The GEMÜ 840 flowmeter operates according to the part flow principle The device consists of three parts: Main flow unit, part flow unit and manual diaphragm valve."
841,Partial flow variable area flow meter,Measurement And Control Technology,Flow Meters,Partial flow variable area flow meter,manual,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Large measuring range available (depending on aperture diameter) | Part flow metering tube can also be easily replaced without downtime | Impact resistant, corrosion resistant",0 to 10 bar,5 to 90 °C,,DN 65 to 65,,,Spigot,,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/841,2026-06-09,A,"Official page description: The GEMÜ 840 flowmeter operates according to the part flow principle The device consists of three parts: Main flow unit, part flow unit and manual diaphragm valve."
845,Partial flow variable area flow meter,Measurement And Control Technology,Flow Meters,Partial flow variable area flow meter,manual,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Large measuring range available (depending on aperture diameter) | Part flow metering tube can also be easily replaced without downtime | Impact resistant, corrosion resistant",0 to 10 bar,5 to 90 °C,,DN 65 to 65,,,Spigot,,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/845,2026-06-09,A,"Official page description: The GEMÜ 840 flowmeter operates according to the part flow principle The device consists of three parts: Main flow unit, part flow unit and manual diaphragm valve."
851,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Over 500 standard scales and 13,000 special scales are available with further scales on request | Clear and large size printed scale | ATEX version available as an option | Corrosion-resistant plastic parts",0 to 15 bar,-20 to 120 °C,,DN 15 to 25,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/851,2026-06-09,A,"Official page description: ​The GEMÜ 850 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
855,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option | Corrosion-resistant plastic parts",0 to 15 bar,-20 to 120 °C,,DN 10 to 25,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/855,2026-06-09,A,"Official page description: ​The GEMÜ 850 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
857,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 10 to 25,,,Flange Spigot Union end,ATEX FDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/857,2026-06-09,A,"Official page description: ​The GEMÜ 850 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
865,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Good level of accuracy, simple operation | Clear and large size printed scale | Over 500 standard scales and 13,000 special scales are available with further scales on request | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 10 to 25,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/865,2026-06-09,A,"Official page description: ​The GEMÜ 850 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
875,Variable area flow meter with plastic measuring tube,Measurement And Control Technology,Flow Meters,Variable area flow meter with plastic measuring tube,,MEDIUM,过程流量测量；制药适配需逐系列确认,"Suitable for gaseous and liquid media | Good level of accuracy, simple operation | Over 500 standard scales and 13,000 special scales are available with further scales on request | Clear and large size printed scale | ATEX version available as an option",0 to 15 bar,-20 to 120 °C,,DN 10 to 25,,,Flange Spigot Union end,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/875,2026-06-09,A,"Official page description: ​The GEMÜ 800 flowmeter operates according to the variable area principle and has a transparent metering tube. The scale printed onto the metering tube is suited to the medium. Dovetail sections moulded onto the metering tube allow for easy mounting of adjustable visual flow indicators, limit switches and a continuous readout transmitter."
0322,Electrically actuated pilot solenoid valve made of plastic,Measurement And Control Technology,Pilot Valves,Electrically actuated pilot solenoid valve made of plastic,solenoid,MEDIUM,,Modular battery mounting possible | Robust design | Coil easy to replace | Option: integrated LED (M12 version) | Multi-functional application possibilities due to various designs,0 to 10 bar,-10 to 50 °C,,,PA,,thread,ATEX EAC FMEDA,,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,A,Official page description: The GEMÜ 0322 directly controlled 3/2-way pilot solenoid valve is designed for individual assembly or for modular battery mounting by using clips. The body is made of plastic. The coil is plastic encapsulated.
8303,Electrically actuated metal pilot solenoid valve,Measurement And Control Technology,Pilot Valves,Electrically actuated metal pilot solenoid valve,solenoid,MEDIUM,,Standard silenced venting | Optional installation position | Simple coil replacement without tools (Click-on®) | The solenoid can be replaced without removing the valve body from the piping | Solenoid coil universally rotatable,1 to 10 bar,-10 to 60 °C,,,1.4581 Aluminium,,Threaded connection,ATEX EAC,,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/8303,2026-06-09,A,Official page description: The GEMÜ 8303 3/2-way pilot solenoid valve requires differential pressure. The housing is made from aluminium or stainless steel. The plastic encapsulated coil is detachable.
8500,Electrically actuated pilot solenoid valve made of aluminium,Measurement And Control Technology,Pilot Valves,Electrically actuated pilot solenoid valve made of aluminium,solenoid,MEDIUM,,Available with NAMUR connection as an option | Suitable for activating single or double acting pneumatic actuators | Standard manual override | Optional installation position | Solenoid coil universally rotatable,"2,5 to 10 bar",-10 to 60 °C,,,Aluminium,,Threaded connection,ATEX FMEDA IECEx,,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/8500,2026-06-09,A,Official page description: The GEMÜ 8500 servo assisted 3/2 or 5/2-way pilot solenoid valve is indirectly controlled. The body is made of aluminium. The plastic encapsulated solenoid actuator is detachable. The piston valve has a soft elastomer seal.
8506,Electrically actuated pilot solenoid valve made of aluminium,Measurement And Control Technology,Pilot Valves,Electrically actuated pilot solenoid valve made of aluminium,solenoid,MEDIUM,,Simple conversion from 3/2-way valve to 5/2-way valve | The coil can be rotated by 90° | Optional installation position | The solenoid can be replaced without removing the valve body from the piping,2 to 8 bar,-10 to 50 °C,,,Aluminium,,thread,EAC,,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/8506,2026-06-09,A,Official page description: The GEMÜ 8506 servo assisted 3/2 or 5/2-way pilot solenoid valve is indirectly controlled. The body is made of aluminium. The plastic encapsulated coil is detachable.
1434,Intelligent electro-pneumatic positioner,Measurement And Control Technology,Position And Process Controllers,Intelligent electro-pneumatic positioner,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,No air consumption when idle | Simple mounting to various actuators | Simple commissioning due to automatic initialization | Speed-AP function for fast mounting and initialization | Easy operation due to balanced preconfiguration | Compact design,0 to 10 bar,,,,,,M12 connector,EAC,,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,A,"Official page description: The GEMÜ 1434 μPos digital electro-pneumatic positioner is used to control pneumatically operated small to medium nominal size process valves with single acting linear actuators. The solid compact housing has a transparent cover. LEDs for status indication are integrated. Due to factory preconfiguration, this product does not require a display with operating keys. Pneumatic and electrical connections arranged so as to save space and enable easy access. All these features make the GEMÜ 1434 μPos a cost-effective solution for control tasks with basic requirements."
1435,Intelligent electro-pneumatic positioner,Measurement And Control Technology,Position And Process Controllers,Intelligent electro-pneumatic positioner,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,Simple handling and commissioning | Suitable for use at low temperatures | Simple electrical connection by detachable terminals | Automatically optimizes the valve control during initialization | No air consumption when idle,0 to 6 bar,,,,,,M12 cable gland M12 connector,EAC,,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,A,"Official page description: The GEMÜ 1435 ePos digital electro-pneumatic positioner is used to control pneumatically operated process valves with single acting or double acting linear or quarter turn actuators, and detects the position of the valve using an external travel sensor. It has a robust aluminium housing with protected operating keys and an LCD display which allows the product to be individually adapted to the control task. The travel times can be set using integrated throttles. Connection and mounting to NAMUR is also possible. Therefore, the GEMÜ 1435 ePos is an optimal solution for control tasks with high requirements, especially in applications with harsh environmental conditions."
1436,Intelligent positioner and integrated process controller,Measurement And Control Technology,Position And Process Controllers,Intelligent positioner and integrated process controller,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,"Digital inputs (option) for variable function control for automation | Fieldbus interfaces, e.g. Profibus DP, Profinet and DeviceNet (option) | No air consumption when idle | Simple mounting to various actuators | Access rights via different user levels | High flow rate","1,5 to 7 bar",,,,,,M12 connector,EAC,PROFINET | Profibus | DeviceNet,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,A,"Official page description: The GEMÜ 1436 cPos digital electro-pneumatic positioner has an optional integrated process controller to control pneumatically operated process valves with single acting or double acting linear or quarter turn actuators. When using the optional process controller, the signals from the sensors (e.g. flow, level, pressure, temperature) are detected and the media adjusted according to the specified set value. GEMÜ 1436 cPos has a robust aluminium housing with protected operating keys and an LCD display which allows the product to be individually adapted to complex control tasks. With additional equipment, the positioner can be used directly in fieldbus environments."
1436-ECO,Intelligent electro-pneumatic positioner,Measurement And Control Technology,Position And Process Controllers,Intelligent electro-pneumatic positioner,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,No air consumption when idle | Simple mounting to various actuators | Simple commissioning due to automatic initialization | Speed-AP function for fast mounting and initialization | Easy operation due to balanced preconfiguration | High flow rate,"1,5 to 7 bar",,,,,,M12 connector,EAC UL listed,,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,A,"Official page description: The GEMÜ 1436 eco cPos digital electro-pneumatic positioner is used to control pneumatically operated process valves with single acting linear or quarter turn actuators. The positioner, travel sensor, switching valves and status LEDs are integrated into the robust and compact housing. Due to factory preconfiguration, this product does not require a display with operating keys. The pneumatic and electrical connections are arranged in one mounting direction to save space and enable easy access. All these features make this positioner a cost-effective solution for control tasks with basic requirements."
1441,Intelligent electro-pneumatic positioner,Measurement And Control Technology,Position And Process Controllers,Intelligent electro-pneumatic positioner,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,2-wire-connection technology | Quick commissioning using well-balanced preconfiguration | HART communication available upon request | Fail safe and Fail freeze safety function available | BLE communication for remote access and configuration | Almost no air consumption when idle,"1,5 to 7 bar",,,,,,M16 cable gland M12 plug,ATEX FCC HART IECEx UL listed UL Recognized,HART,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,A,"Official page description: The GEMÜ 1441 cPos-X is an intelligent, digital electro-pneumatic positioner in 2-wire technology used to control pneumatically operated process valves. It can be combined with single acting or double acting linear actuators or quarter turn actuators. This means that it can be used, among other things, for diaphragm, globe and diaphragm globe valves as well as for ball valves and butterfly valves, for instance. The positioner has a robust housing with a covered LCD display for status information. The positioner can be operated remotely using a mobile device in order to configure settings and to view detailed information."
1205,Electrical position indicator with microswitch,Measurement And Control Technology,Position Feedback Devices And Valve Connections,Electrical position indicator with microswitch,,MEDIUM,阀门自动化、状态反馈与调节,"Sturdy aluminium housing with pressure-resistant encapsulation | Compact, solid aluminium housing | Adjustable switch point tolerances",,,,,,,,ATEX,,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,A,"Official page description: The GEMÜ 1205 electrical position indicator has electro-mechanical microswitches in a flameproof enclosure. Two valve positions, open and/or closed can be remotely indicated."
1215,Electrical position indicator with microswitch,Measurement And Control Technology,Position Feedback Devices And Valve Connections,Electrical position indicator with microswitch,pneumatic,MEDIUM,阀门自动化、状态反馈与调节,Electrical position feedback with additional visual position indicator | Position feedback via microswitch | The housing can be rotated through 360°,,,,,,,PG 11 cable gland M12 plug,ATEX EAC,,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,A,Official page description: The GEMÜ 1215 electrical position indicator is suitable for mounting to pneumatically operated linear actuators. The position (end position open) of the valve spindle is reliably detected and fed back electronically by the operating bush with a microswitch.
