evidence_id,company,series_id,topic,fact_status,summary,source_type,source_title,source_url,accessed_date,evidence_grade,supports_conclusion,notes
GEMU-SERIES-P600M-P600S-P500M,GEMÜ,P600M/P600S/P500M,Customised product solutions / Multi-port block valves,FACT,Current official product or solution page identifies P600M/P600S/P500M as Multi-port valve blocks made of stainless steel.,官方产品页,GEMÜ P600M/P600S/P500M - Multi-port valve blocks made of stainless steel,https://www.gemu-group.com/en/products/customised-product-solutions/multi-port-block-valves/multi-port-valve-blocks-made-of-stainless-steel/,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-815,GEMÜ,815,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 815 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 815 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/815,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-816,GEMÜ,816,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 816 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 816 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/816,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-817,GEMÜ,817,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 817 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 817 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/817,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-820,GEMÜ,820,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 820 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 820 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/820,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-822,GEMÜ,822,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 822 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 822 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/822,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-825,GEMÜ,825,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 825 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 825 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/825,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-830,GEMÜ,830,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 830 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 830 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/830,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-831,GEMÜ,831,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 831 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 831 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/831,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-832,GEMÜ,832,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 832 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 832 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/832,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-835,GEMÜ,835,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 835 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 835 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/835,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-840,GEMÜ,840,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 840 as Partial flow variable area flow meter.,官方产品页,GEMÜ 840 - Partial flow variable area flow meter,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/840,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-841,GEMÜ,841,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 841 as Partial flow variable area flow meter.,官方产品页,GEMÜ 841 - Partial flow variable area flow meter,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/841,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-845,GEMÜ,845,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 845 as Partial flow variable area flow meter.,官方产品页,GEMÜ 845 - Partial flow variable area flow meter,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/845,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-851,GEMÜ,851,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 851 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 851 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/851,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-855,GEMÜ,855,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 855 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 855 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/855,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-857,GEMÜ,857,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 857 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 857 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/857,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-865,GEMÜ,865,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 865 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 865 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/865,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-875,GEMÜ,875,Measurement And Control Technology / Flow Meters,FACT,Current official product or solution page identifies 875 as Variable area flow meter with plastic measuring tube.,官方产品页,GEMÜ 875 - Variable area flow meter with plastic measuring tube,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/875,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-0322,GEMÜ,0322,Measurement And Control Technology / Pilot Valves,FACT,Current official product or solution page identifies 0322 as Electrically actuated pilot solenoid valve made of plastic.,官方产品页,GEMÜ 0322 - Electrically actuated pilot solenoid valve made of plastic,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/0322,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-8303,GEMÜ,8303,Measurement And Control Technology / Pilot Valves,FACT,Current official product or solution page identifies 8303 as Electrically actuated metal pilot solenoid valve.,官方产品页,GEMÜ 8303 - Electrically actuated metal pilot solenoid valve,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/8303,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-8500,GEMÜ,8500,Measurement And Control Technology / Pilot Valves,FACT,Current official product or solution page identifies 8500 as Electrically actuated pilot solenoid valve made of aluminium.,官方产品页,GEMÜ 8500 - Electrically actuated pilot solenoid valve made of aluminium,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/8500,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-8506,GEMÜ,8506,Measurement And Control Technology / Pilot Valves,FACT,Current official product or solution page identifies 8506 as Electrically actuated pilot solenoid valve made of aluminium.,官方产品页,GEMÜ 8506 - Electrically actuated pilot solenoid valve made of aluminium,https://www.gemu-group.com/en/products/measurement-and-control-technology/pilot-valves/8506,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1434,GEMÜ,1434,Measurement And Control Technology / Position And Process Controllers,FACT,Current official product or solution page identifies 1434 as Intelligent electro-pneumatic positioner.,官方产品页,GEMÜ 1434 - Intelligent electro-pneumatic positioner,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1435,GEMÜ,1435,Measurement And Control Technology / Position And Process Controllers,FACT,Current official product or solution page identifies 1435 as Intelligent electro-pneumatic positioner.,官方产品页,GEMÜ 1435 - Intelligent electro-pneumatic positioner,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1436,GEMÜ,1436,Measurement And Control Technology / Position And Process Controllers,FACT,Current official product or solution page identifies 1436 as Intelligent positioner and integrated process controller.,官方产品页,GEMÜ 1436 - Intelligent positioner and integrated process controller,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1436-ECO,GEMÜ,1436-ECO,Measurement And Control Technology / Position And Process Controllers,FACT,Current official product or solution page identifies 1436-ECO as Intelligent electro-pneumatic positioner.,官方产品页,GEMÜ 1436-ECO - Intelligent electro-pneumatic positioner,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1441,GEMÜ,1441,Measurement And Control Technology / Position And Process Controllers,FACT,Current official product or solution page identifies 1441 as Intelligent electro-pneumatic positioner.,官方产品页,GEMÜ 1441 - Intelligent electro-pneumatic positioner,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1205,GEMÜ,1205,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1205 as Electrical position indicator with microswitch.,官方产品页,GEMÜ 1205 - Electrical position indicator with microswitch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1215,GEMÜ,1215,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1215 as Electrical position indicator with microswitch.,官方产品页,GEMÜ 1215 - Electrical position indicator with microswitch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1232,GEMÜ,1232,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1232 as Electrical position indicator with inductive proximity switch.,官方产品页,GEMÜ 1232 - Electrical position indicator with inductive proximity switch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1234,GEMÜ,1234,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1234 as Microprocessor-controlled electrical position indicator.,官方产品页,GEMÜ 1234 - Microprocessor-controlled electrical position indicator,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1234,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1236,GEMÜ,1236,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1236 as Microprocessor-controlled electrical position indicator.,官方产品页,GEMÜ 1236 - Microprocessor-controlled electrical position indicator,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1240,GEMÜ,1240,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1240 as Electrical position indicator with microswitch or inductive proximity switch.,官方产品页,GEMÜ 1240 - Electrical position indicator with microswitch or inductive proximity switch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1240,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1241,GEMÜ,1241,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1241 as Electrical position indicator with inductive proximity switch.,官方产品页,GEMÜ 1241 - Electrical position indicator with inductive proximity switch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-1242,GEMÜ,1242,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 1242 as Microprocessor-controlled electrical position indicator.,官方产品页,GEMÜ 1242 - Microprocessor-controlled electrical position indicator,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-12A0,GEMÜ,12A0,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 12A0 as Intelligent electrical position indicator.,官方产品页,GEMÜ 12A0 - Intelligent electrical position indicator,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/12a0,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-4240,GEMÜ,4240,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 4240 as Valve activation with microswitch or inductive proximity switch.,官方产品页,GEMÜ 4240 - Valve activation with microswitch or inductive proximity switch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/4240,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-4241,GEMÜ,4241,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 4241 as Valve actuation with inductive proximity switch.,官方产品页,GEMÜ 4241 - Valve actuation with inductive proximity switch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/4241,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-4242,GEMÜ,4242,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 4242 as Microprocessor-controlled valve control.,官方产品页,GEMÜ 4242 - Microprocessor-controlled valve control,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/4242,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-44A0,GEMÜ,44A0,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies 44A0 as Multi-functional combi switchbox.,官方产品页,GEMÜ 44A0 - Multi-functional combi switchbox,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/44a0,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-C12A,GEMÜ,C12A,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies C12A as Light barrier-based electrical position indicator.,官方产品页,GEMÜ C12A - Light barrier-based electrical position indicator,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/c12a,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-LSC,GEMÜ,LSC,Measurement And Control Technology / Position Feedback Devices And Valve Connections,FACT,Current official product or solution page identifies LSC as Limit switch box for quarter turn actuators.,官方产品页,GEMÜ LSC - Limit switch box for quarter turn actuators,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/lsc,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-C30,GEMÜ,C30,Measurement And Control Technology / Temperature Measuring Devices And Pressure Measuring Devices,FACT,Current official product or solution page identifies C30 as Pressure gauge with PFA pressure transmitter.,官方产品页,GEMÜ C30 - Pressure gauge with PFA pressure transmitter,https://www.gemu-group.com/en/products/measurement-and-control-technology/temperature-measuring-devices-and-pressure-measuring-devices/c30,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-C33,GEMÜ,C33,Measurement And Control Technology / Temperature Measuring Devices And Pressure Measuring Devices,FACT,Current official product or solution page identifies C33 as Pressure gauge with PTFE separating diaphragm.,官方产品页,GEMÜ C33 - Pressure gauge with PTFE separating diaphragm,https://www.gemu-group.com/en/products/measurement-and-control-technology/temperature-measuring-devices-and-pressure-measuring-devices/c33,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-710,GEMÜ,710,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies 710 as Pneumatic ball valve made of plastic.,官方产品页,GEMÜ 710 - Pneumatic ball valve made of plastic,https://www.gemu-group.com/en/products/valve-technology/ball-valves/710,2026-06-09,A,GEMÜ current-series catalog; pharma relevance LOW.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-717,GEMÜ,717,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies 717 as Manual ball valve made of plastic.,官方产品页,GEMÜ 717 - Manual ball valve made of plastic,https://www.gemu-group.com/en/products/valve-technology/ball-valves/717,2026-06-09,A,GEMÜ current-series catalog; pharma relevance LOW.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-B20,GEMÜ,B20,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies B20 as Manual 2/2-way metal ball valve.,官方产品页,GEMÜ B20 - Manual 2/2-way metal ball valve,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b20,2026-06-09,A,GEMÜ current-series catalog; pharma relevance MEDIUM.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-B22,GEMÜ,B22,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies B22 as Manual 2/2-way metal ball valve.,官方产品页,GEMÜ B22 - Manual 2/2-way metal ball valve,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b22,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-B26,GEMÜ,B26,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies B26 as Manual 2/2-way metal ball valve.,官方产品页,GEMÜ B26 - Manual 2/2-way metal ball valve,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b26,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-B27,GEMÜ,B27,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies B27 as Manual 3/2-way metal ball valve.,官方产品页,GEMÜ B27 - Manual 3/2-way metal ball valve,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b27,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-B2F,GEMÜ,B2F,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies B2F as Manual 2/2-way metal ball valve.,官方产品页,GEMÜ B2F - Manual 2/2-way metal ball valve,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b2f,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-B42,GEMÜ,B42,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies B42 as Pneumatic 2/2-way metal ball valve.,官方产品页,GEMÜ B42 - Pneumatic 2/2-way metal ball valve,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b42,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
GEMU-SERIES-B47,GEMÜ,B47,Valve Technology / Ball Valves,FACT,Current official product or solution page identifies B47 as Pneumatic 3/2-way metal ball valve.,官方产品页,GEMÜ B47 - Pneumatic 3/2-way metal ball valve,https://www.gemu-group.com/en/products/valve-technology/ball-valves/b47,2026-06-09,A,GEMÜ current-series catalog; pharma relevance HIGH.,Parameters and application boundaries remain configuration-specific.
