record_id,catalogue_title,category,subcategory,product_group,model_numbers,maximum_nominal_sizes,cleanliness,flow_rate_class,materials,pharma_relevance,pharma_basis,pharma_applications,english_catalogue_url,chinese_catalogue_url,official_index_url,accessed_date,evidence_grade,notes
FH-UT-7371F90F,Super Double Bite Fittings (Abbreviation: SUW) & Process Instrumentation Products SUPER W-BITE FITTING,Manual Valves,1-1. Globe Valves,Needle Valves,FH-UT,15A,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUN-FUE-FUH-46ADB9F8,FINE series PURE Standard series,Manual Valves,1-1. Globe Valves,Needle Valves,FUN FUE FUH,10A 12.7,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,https://www.fujikin.co.jp/support/pdf/701-01_pure_standard_chn.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PDS-PDWVP-433F234E,Brass Needle Stop Valves Bulkhead Type,Manual Valves,1-1. Globe Valves,Needle Valves,PDS PDWVP,15A 12.7 12,*,Low,C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_14.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUH-134-CA967EA3,Stainless Steel Bonnetless Type Stop Valves 34MPa Type,Manual Valves,1-1. Globe Valves,Needle Valves,PUH-134,15A 12.7,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUH-916-F21D708C,SUS316 Female Threaded Needle Stop Valves,Manual Valves,1-1. Globe Valves,Needle Valves,PUH-916,15A 12.7,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/702_p_needle_stop_eng.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUN-UN-DUN-8CF4A2FF,Minute Flow Control Valves Cv 0.004 Type,Manual Valves,1-1. Globe Valves,Needle Valves,PUN UN DUN,6.35,Class 2,Low,S、C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUS-142-909C5E78,Stainless Steel Male Threaded Stop Valves 42MPa Type,Manual Valves,1-1. Globe Valves,Needle Valves,PUS-142,15A 12.7,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUS-916-78AA66E1,SUS316 Female Threaded Needle Stop Valves,Manual Valves,1-1. Globe Valves,Needle Valves,PUS-916,12.7,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
RV-6-96A69CEB,Ring Joints & Miniature Valves,Manual Valves,1-1. Globe Valves,Needle Valves,RV-6,12 12×10A,*,Low,C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UH-11500HP-D5D384B3,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,Manual Valves,1-1. Globe Valves,Needle Valves,UH-11500HP,25A,Class 1,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UH-14-UN-116-UE-19-6B3635E9,Stainless Steel Needle Valves Average／Small／Minute Adjustments,Manual Valves,1-1. Globe Valves,Needle Valves,UH-14 UN-116 UE-19,25A,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UH-7100L-3C146776,Valves & Fittings for Ultra High-Pressure Hydrogen Gas,Manual Valves,1-1. Globe Valves,Needle Valves,UH-7100L,14.2,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/hyd1e_hyd.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UN-115-UN-130-UN-150-953E87EE,MINUCON Diaphragm Type Mini Control Valves,Manual Valves,1-1. Globe Valves,Needle Valves,UN-115 UN-130 UN-150,15A,Class 2,Low,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,https://www.fujikin.co.jp/support/pdf/minue_minucon.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UN-14M-B0DBE74B,"Stainless Steel Needle Valves, Average／Small／Minute Adjustments UN-14M",Manual Valves,1-1. Globe Valves,Needle Valves,UN-14M,8A 6.35,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
US-127P-0A0BF600,Needle Stop Valves US-valves Manben Kun 26.5MPa Stainless Steel,Manual Valves,1-1. Globe Valves,Needle Valves,US-127P,25A,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/115_new_us-valves_eng.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
US-13P-4D94B86C,Stainless Steel Needle Valves Average／Small／Minute Adjustments,Manual Valves,1-1. Globe Valves,Needle Valves,US-13P,15A,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUH-941P-D4FDC336,V-Series Union-Bonnet Needle Valves VUH Series,Manual Valves,1-1. Globe Valves,Needle Valves,VUH-941P,12.7,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_13.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUD-0737D1B7,FINE series PURE Standard series,Manual Valves,1-1. Globe Valves,Stop Valves,FUD,10A 12.7,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,https://www.fujikin.co.jp/support/pdf/701-01_pure_standard_chn.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUD-134-2F96308C,Stainless Steel Bonnetless Type Stop Valves 34MPa Type,Manual Valves,1-1. Globe Valves,Stop Valves,PUD-134,15A 12.7,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UD-11500HP-6BCADA6D,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,Manual Valves,1-1. Globe Valves,Stop Valves,UD-11500HP,25A,Class 1,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUK-11-CC34AE85,Toggle Valves,Manual Valves,1-1. Globe Valves,Stop Valves,VUK-11,8A 9.52,Class 2,Low,S、C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_17.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUK-91P-5BA55FB5,V-Series Toggle Valves VUK Series,Manual Valves,1-1. Globe Valves,Stop Valves,VUK-91P,12.7,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_17.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
DH-32-DUE-32-BH-31-4546EB5B,Brass／Bronze Needle Valves,Manual Valves,1-2. Angle Valves,Needle Valves,DH-32 DUE-32 BH-31,100A,*,Low,C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
DS-31-BC316D8B,Brass／Bronze Needle Valves,Manual Valves,1-2. Angle Valves,Needle Valves,DS-31,15A,*,Low,C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUN-35-FUE-35-FUH-35-3486B101,FINE series PURE Standard series,Manual Valves,1-2. Angle Valves,Needle Valves,FUN-35 FUE-35 FUH-35,15A,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,https://www.fujikin.co.jp/support/pdf/fu05c_pure_standard.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUH-016-A648DCC4,SUS316 Female Threaded Needle Stop Valves,Manual Valves,1-2. Angle Valves,Needle Valves,PUH-016,15A 12.7,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_10.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUN-UN-DUN-574C0E9B,Minute Flow Control Valves Cv 0.004 Type,Manual Valves,1-2. Angle Valves,Needle Valves,PUN UN DUN,6.35,Class 2,Low,S、C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUS-016-26400A90,SUS316 Female Threaded Needle Stop Valves,Manual Valves,1-2. Angle Valves,Needle Valves,PUS-016,12.7,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
RA-6-D14A8B11,Ring Joints & Miniature Valves,Manual Valves,1-2. Angle Valves,Needle Valves,RA-6,12 12×10A,*,Low,C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UH-31500HP-D81A88DC,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,Manual Valves,1-2. Angle Valves,Needle Valves,UH-31500HP,25A,Class 1,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UH-33-DH-31-FE868CCD,Female Threaded Needle Stop Valves Economy Type,Manual Valves,1-2. Angle Valves,Needle Valves,UH-33 DH-31,10A,*,Low,S、C,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UN-04M-B1ECA1BA,Stainless Steel Needle Valves Average／Small／Minute Adjustments,Manual Valves,1-2. Angle Valves,Needle Valves,UN-04M,6.35,Class 1,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UN-34M-FC2894BA,Stainless Steel Needle Valves Average／Small／Minute Adjustments,Manual Valves,1-2. Angle Valves,Needle Valves,UN-34M,8A,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
US-327P-EB912110,Needle Stop Valves US-valves Manben Kun 26.5MPa Stainless Steel,Manual Valves,1-2. Angle Valves,Needle Valves,US-327P,25A,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/115_new_us-valves_eng.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
US-33P-56DBCAB3,Stainless Steel Needle Valves Average／Small／Minute Adjustments,Manual Valves,1-2. Angle Valves,Needle Valves,US-33P,15A,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUD-35-722A3331,FINE series PURE Standard series,Manual Valves,1-2. Angle Valves,Stop Valves,FUD-35,15A,Complete,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,https://www.fujikin.co.jp/support/pdf/701-01_pure_standard_chn.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UD-31500HP-4A1B4AEA,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,Manual Valves,1-2. Angle Valves,Stop Valves,UD-31500HP,25A,Class 1,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UK-31-3E5F15CC,Toggle Valves,Manual Valves,1-2. Angle Valves,Stop Valves,UK-31,9.52,Class 2,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUP-920-2B93BF6E,V-Series Plug Valves VUP Series,Manual Valves,1-3. Plug Valves,Plug Valves,VUP-920,1/2 in.,*,Low,S,LOW,"Current official catalogue row, but no direct pharma positioning in the index.",可能用于通用设备或公用工程；不能据此推断制药适用。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_08.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
8A-12-7-0AC0047E,"VUBV-168,968P",Manual Valves,1-4. Ball Valves,Ball Valves,8A 12.7,*,Low,,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
CBV3-99F9A97C,Fine Ceramic Valves COSMIX™,Manual Valves,1-4. Ball Valves,Ball Valves,CBV3,150A,*,Medium,FC,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,https://www.fujikin.co.jp/support/pdf/133_cosmix_eng.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUBV-FUBVT-74DF449C,FINE series PURE Standard series,Manual Valves,1-4. Ball Valves,Ball Valves,FUBV FUBVT,12.7,Complete,Low,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,https://www.fujikin.co.jp/support/pdf/701-01_pure_standard_chn.pdf,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUBV-15-95-PUBVT-15-95-D104DD76,Panel Mount Type Ball Valves Compact & Lightweight 4.9MPa,Manual Valves,1-4. Ball Valves,Ball Valves,"PUBV-15, 95 PUBVT-15, 95",12.7 15A,Class 2,Low,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,https://www.fujikin.co.jp/support/pdf/703_p_ball_eng.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
PUBV-94-211F3F1F,Ball Valves With 4 Colored Handle Mini Ball Valves 3.92MPa,Manual Valves,1-4. Ball Valves,Ball Valves,PUBV-94,12.7,Class 2,Low,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,https://www.fujikin.co.jp/support/pdf/704_p_mini_ball_eng.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UBV-DBV-CF3DEB1A,Compact Type Ball Valves,Manual Valves,1-4. Ball Valves,Ball Valves,UBV DBV,50A,*,Medium,S、C,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
UBV-21-JIS10R-ALX-D1FA3516,"Flange, Butt Weld Type JIS10K Ball Valves",Manual Valves,1-4. Ball Valves,Ball Valves,UBV-21-JIS10R-ALX,100A,Complete,High,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUBV-VUBVS-120-920PP-VUBV-VUBVS-020P-VUBVS-320P-VUBVT-9-E85A816A,"V-Series Ball Valves VUBV, VUBVS Series",Manual Valves,1-4. Ball Valves,Ball Valves,"VUBV, VUBVS-120, 920PP VUBV, VUBVS-020P VUBVS-320P VUBVT-920P VUBVS-120, 920P",15A 19.05,*,Low,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_06.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
VUBV-115-VUBV-915-D5E1D695,V-Series 3 Piece Ball Valves 15.1MPa VUBV Series,Manual Valves,1-4. Ball Valves,Ball Valves,VUBV-115 VUBV-915,25A 25.4,*,Medium,S,MEDIUM,Product function overlaps a pharma utility or equipment task; no blanket sterile claim.,制药公用工程、设备内部流体或邻近应用；卫生等级待确认。,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_05.pdf,,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
