day,week,module,learning_objective,primary_material,exercise,required_output,coach_review,pass_criteria
21,3,GEMÜ攻防,形成卫生阀阀块一次性三条差异化应对,2026-06-competitive-battlecards.md,用一个项目分别模拟单阀和完整回路竞争,GEMÜ项目攻防页,销售与产品经理复核客户采购单位,承认对手专业优势并给出有条件的Bürkert扩展价值
22,4,Fujikin攻防,形成卫生阀MFC高纯边界三条判断,Fujikin-burkert-series-map.csv,审查一个混合使用半导体与制药资料的竞品说法,Fujikin能力边界页,产品经理复核型号能力线与中国项目证据,至少识别两个不可外推结论并提出验证动作
23,4,ESG攻防,形成标准阀包合规准入与商业验证路径,2026-06-competitive-battlecards.md,完成高级场景H并关联内部验证任务,ESG阀门包审查页,质量采购销售联合复核证书配置价格交期,技术资格和商业优势分别评价且引用validation_id
24,4,价格与交期,掌握同规格净价和承诺实际交期记录规则,2026-06-internal-validation-fieldbook.md,填一条模拟竞争项目并运行内部验证校验器,合格项目日志样例,销售运营和供应链复核可比字段,双方型号配置价格条款及承诺实际交期完整
25,4,输赢复盘,把销售印象转成可验证的客户决策证据,2026-06-competitive-project-log-template.csv,对一个历史输赢项目重写原因与证据链,项目复盘页,销售负责人复核客户事实内部判断和推测,结果原因和证据位置完整且不使用单一主观标签
26,4,管理层策略,把竞争事实转成优先级资源与风险决策,2026-06-four-company-competitive-research.md,制作一页管理层摘要含高影响事实和待验证项,管理层一页纸,负责人检查事实推断和行动是否分离,每项行动有负责人时限依据且不创建虚假精确分数
27,4,销售应用,把选型和竞争知识转成客户发现问题,2026-06-pharma-application-field-guide.md,模拟15分钟客户问诊并形成下一步承诺,问诊记录和下一步清单,销售经理与应用工程联合复核,取得至少三个决定性工况和一个可验证下一步
28,4,产品路线,区分真实产品缺口证据缺口表达缺口与交付缺口,2026-06-product-knowledge-coverage-audit.md,对三条竞争反馈进行四类缺口分类,产品缺口分诊表,产品负责人复核是否误把单项目当路线结论,每条反馈有分类证据影响与下一步验证
29,4,综合演练,在不完整信息下完成选型竞争与证据计划,2026-06-product-knowledge-assessment.md,进行60分钟盲案演练覆盖一名主要竞品,综合案例答卷和口头汇报,产品应用销售三方交叉评分,识别不可直接比较项并形成产品商业证据三类动作
30,4,结业评估,证明可独立参与客户项目并守住证据边界,2026-06-product-knowledge-assessment.md,闭卷基础自测加随机场景答辩和目录检索,DAY-30成绩记录个人能力雷达和60天行动,产品经理与应用工程共同签署,总分不低于75四模块均达最低线且无致命错误
