evidence_id,company,legal_entity,topic,product_category,fact_status,summary,source_type,source_title,source_url,published_date,accessed_date,market_scope,evidence_grade,supports_conclusion,notes
GEMU-MULTIPORT-001,GEMÜ,GEMÜ Gebrüder Müller Apparatebau GmbH & Co. KG,多通阀块,系统方案,FACT,"P600M不锈钢多通隔膜阀块覆盖DN4至150、最高10 bar、灭菌温度150摄氏度，并列出3-A、FDA、USP等符合性。",官方技术页,Multi-port valve blocks made of stainless steel,https://www.gemu-group.com/en-gb/products/customised-product-solutions/multi-port-block-valves/multi-port-valve-blocks-made-of-stainless-steel/,,2026-06-08,全球,A,"GEMÜ在无菌多通阀块方面具有强直接竞争证据。","技术参数应以具体配置数据表为准。"
GEMU-SINGLEUSE-001,GEMÜ,GEMÜ Gebrüder Müller Apparatebau GmbH & Co. KG,一次性系统,系统方案,FACT,"SUMONDO多通方案使用可重复驱动单元和一次性接液阀体，官方列出DN6至25、0至6 bar及USP/FDA相关合规支持。",官方技术页,Single-Use Multi-Port Valve Blocks,https://www.gemu-group.com/en/products/customised-product-solutions/single-use-solutions/single-use-multi-port-valve-blocks/,,2026-06-08,全球,A,"GEMÜ在一次性生物制药流路上形成差异化竞争点。","中国本地供应和交期未公开量化。"
GEMU-TRACE-001,GEMÜ,GEMÜ Gebrüder Müller Apparatebau GmbH & Co. KG,追溯与合规,阀门,FACT,"官方制药页说明膜片可单独包装并配检验证明以实现追溯。",官方行业页,Product advantages pharmaceutical biotechnology cosmetics,https://www.gemu-group.com/en_GB/pharmazie-biotechnologie-und-kosmetik/produktvorteile/,,2026-06-08,全球,B,"GEMÜ重视制药膜片追溯和文件化。","未核验所有膜片型号均适用。"
GEMU-DIGITAL-001,GEMÜ,GEMÜ Gebrüder Müller Apparatebau GmbH & Co. KG,数字化,数字化服务,FACT,"GEMÜ提供CONEXO数字信息管理、RFID部件识别、无纸化维护和证书访问。",官方数字化页,CONEXO asset lifecycle management platform,https://www.gemu-group.com/en-gb/products/digital-solutions/conexo-asset-lifecycle-management-platform/,,2026-06-08,全球,B,"GEMÜ具备围绕阀门资产和维护的数字化能力。","覆盖重点在组件身份、文件、维护和生命周期管理。"
GEMU-SERVICE-001,GEMÜ,GEMÜ Gebrüder Müller Apparatebau GmbH & Co. KG,售后与培训,售后服务,FACT,"官方服务页提供产品文档、证书、客户服务、服务热线、退货和培训等服务入口。",官方服务页,GEMÜ Service and Support,https://www.gemu-group.com/en_US/service/,,2026-06-08,全球,B,"GEMÜ售后服务结构完整。","中国地区具体SLA未公开。"
FUJIKIN-COMPANY-001,Fujikin,Fujikin Incorporated,企业与产品范围,全部,FACT,"官方产品目录包含手动及自动阀、接头、质量流量控制系统、集成气体系统、静态混合器和其他专用设备。",官方产品页,Fujikin Product Information,https://www.fujikin.co.jp/en/product/,,2026-06-08,全球,B,"Fujikin产品广度较大，但高纯和半导体产品占比突出。","需按应用逐项判断制药适用性。"
FUJIKIN-CHINA-001,Fujikin,Fujikin of China Incorporated,中国布局,售后服务,FACT,"官方地点页列出上海、北京、西安、成都等办公室，以及武汉、深圳、南京等服务中心。",官方公司页,Fujikin Locations,https://www.fujikin.co.jp/en/company/office.html,,2026-06-08,中国,B,"Fujikin在中国具备多区域销售和服务触点。","公开页面未给出制药专属团队规模。"
FUJIKIN-CHINA-002,Fujikin,Changshu Fujikin Valve Manufacturing Incorporated,中国生产,阀门,FACT,"官方地点页列出常熟Fujikin阀门制造公司。",官方公司页,Fujikin Locations,https://www.fujikin.co.jp/en/company/office.html,,2026-06-08,中国,B,"Fujikin具有中国阀门制造实体。","未由公开资料确认其生产哪些制药系列。"
FUJIKIN-PHARMA-001,Fujikin,Fujikin Incorporated,制药应用,阀门,FACT,"官方产品检索将制药制造列入Biomedical/Food行业，并提供阀门和系统分类。",官方产品页,Fujikin Product Information,https://www.fujikin.co.jp/en/product/,,2026-06-08,全球,B,"Fujikin明确服务制药制造，但公开行业方案深度弱于GEMÜ和Bürkert。","行业标签不能自动证明每个系列适用于制药。"
FUJIKIN-DIAPHRAGM-001,Fujikin,Fujikin Incorporated,卫生隔膜阀,阀门,FACT,"BNW手动隔膜阀公开配置采用SUS316L，可选焊接连接，最高150摄氏度、最高0.6 MPa。",官方技术页,Manual Weir Diaphragm Valves BNW Series,https://www.fujikin.co.jp/en/product/products/list?category_id=118&pageno=6,,2026-06-08,全球,A,"Fujikin具备卫生隔膜阀直接产品重叠。","参数来自代表系列/型号。"
FUJIKIN-DIAPHRAGM-002,Fujikin,Fujikin Incorporated,卫生隔膜阀,阀门,FACT,"BNW自动隔膜阀公开配置采用SUS316L，可选卡箍或焊接，部分系列最高150摄氏度、0.6 MPa。",官方技术页,Automatic Diaphragm Valves,https://www.fujikin.co.jp/en/product/products/list?category_id=125&pageno=8,,2026-06-08,全球,A,"Fujikin可覆盖自动卫生隔膜阀场景。","不同系列压力和温度范围不同。"
FUJIKIN-DIAPHRAGM-003,Fujikin,Fujikin Incorporated,卫生隔膜阀,阀门,FACT,"官方隔膜阀目录列出SUS316L阀体、PTFE/EPDM或EPDM膜片、USP Class VI和FDA材料符合性，以及Ra 0.38微米和ASME-BPE SF4选项。",官方技术PDF,DIAPHRAGM VALVES,https://www.fujikin.co.jp/support/pdf/504-03_diaphragm_eng.pdf,,2026-06-08,全球,A,"Fujikin在卫生材料、表面和连接方面具备可比技术基础。","证书有效范围需采购时按型号复核。"
FUJIKIN-FLOW-001,Fujikin,Fujikin Incorporated,流量控制,流量控制,FACT,"官方总目录列出FCS Thermal质量流量控制器和Flow Control System。",官方技术PDF,Catalogue of Catalogues,https://www.fujikin.co.jp/ja/support/pdf/100-01_catalog_of_catalog_eng.pdf,,2026-06-08,全球,A,"Fujikin具备精密流量控制能力，但其主要公开证据偏高纯气体场景。","制药气液应用适配需逐型号确认。"
FUJIKIN-SUPPORT-001,Fujikin,Fujikin Incorporated,技术支持,数字化服务,FACT,"官方支持页提供在线说明会、产品借用、CAD与装配图、手册、目录、规格确认和Cv/流量计算工具。",官方支持页,Fujikin Support,https://www.fujikin.co.jp/ja/support/,,2026-06-08,全球,B,"Fujikin具备较完整的产品技术支持工具。","中国本地中文支持范围需进一步确认。"
FUJIKIN-PRICE-001,Fujikin,Fujikin of China Incorporated,价格与商业,价格,INTERNAL_VALIDATION,"本轮未找到可比较的官方公开价格、标准折扣或中国制药项目报价证据。",研究缺口,Public evidence gap,,,2026-06-08,中国,D,"不能沿用低价或关系型竞争作为已证实结论。","需以实际项目报价、输单复盘和销售访谈验证。"
ESG-COMPANY-001,ESG 精锐,青岛精锐机械制造有限公司,企业与产品范围,全部,FACT,"官方站称公司成立于2001年，专注中低压工业流体控制用不锈钢过程阀。",公司官网,ESG Flow Control Valves,https://www.esgvalve.com/,,2026-06-08,中国,B,"ESG是本土阀门制造商，定位明显窄于完整流体控制系统供应商。","公司规模数据未独立核验。"
ESG-PRODUCT-001,ESG 精锐,青岛精锐机械制造有限公司,产品范围,阀门,FACT,"官方站列出角座阀、梭阀/同轴阀、隔膜阀、蝶阀、球阀、止回阀、过滤器、疏水阀、减压及灌装阀等。",公司官网,ESG Flow Control Valves,https://www.esgvalve.com/,,2026-06-08,全球,B,"ESG阀门产品族较完整，但测量、传感和质量流量控制证据不足。","一级产品族事实。"
ESG-CHINA-001,ESG 精锐,青岛精锐机械制造有限公司,中国生产,阀门,CLAIM,"官方站称青岛基地约40000平方米，具备不锈钢精密铸造、机加工、装配和测试产线。",公司官网,ESG Flow Control Valves,https://www.esgvalve.com/,,2026-06-08,中国,B,"ESG具有本土制造和工艺垂直整合潜力。","面积和产能为企业自述，未独立审计。"
ESG-PHARMA-001,ESG 精锐,青岛精锐机械制造有限公司,制药应用,阀门,CLAIM,"官方应用页列出纯化水机、多效蒸馏水机、生物发酵罐、配液、换热、CIP和SIP。",公司官网,ESG Flow Control Valves,https://www.esgvalve.com/,,2026-06-08,中国,B,"ESG已明确面向制药设备场景。","未发现可公开核验的具体制药客户案例。"
ESG-DIAPHRAGM-001,ESG 精锐,青岛精锐机械制造有限公司,卫生隔膜阀,阀门,CLAIM,"官方搜索索引中的A00气动隔膜阀页列出SS316L阀体、Ra≤0.4微米、EPDM+PTFE双层膜片、0至10 bar及-10至150摄氏度。",官方页索引,A00 Series Pneumatic Diaphragm Valve,https://www.esgvalve.com/,,2026-06-08,全球,C,"ESG在标准卫生隔膜阀上与三家形成直接产品重叠。","具体产品路由在2026-06-08返回404；保留官网入口并降级，采购前须索取当前数据表。"
ESG-CERT-001,ESG 精锐,青岛精锐机械制造有限公司,材料合规,阀门,CLAIM,"官方搜索索引中的A00页面称膜片通过FDA和USP认证，隔膜阀通过EC 1935/2004相关认证。",官方页索引,A00 Series Pneumatic Diaphragm Valve,https://www.esgvalve.com/,,2026-06-08,全球,C,"ESG具备卫生合规主张，但采购决策前必须索取证书并核对范围。","产品路由当前不可用，且本轮未取得证书原件。"
ESG-SAMPLING-001,ESG 精锐,青岛精锐机械制造有限公司,无菌取样,阀门,CLAIM,"官方搜索索引中的A31取样阀页列出AISI 316L、Ra≤0.4微米、ASME-BPE焊接/卡箍、PTFE膜片、PN16和最高150摄氏度。",官方页索引,Dual-Port Manual Aseptic Sampling Valve,https://www.esgvalve.com/,,2026-06-08,全球,C,"ESG产品曾公开覆盖无菌取样细分场景。","具体产品路由在2026-06-08返回404；须向厂商确认当前在售状态和数据表。"
ESG-AUTOMATION-001,ESG 精锐,青岛精锐机械制造有限公司,自动化,执行与控制,CLAIM,"官方搜索索引中的0P1智能定位器页列出0/4-20mA、0-5/10V输入输出和IP65，并称用于ESG角座阀和隔膜阀。",官方页索引,0P1 Series Two-Piece Intelligent Positioner,https://www.esgvalve.com/,,2026-06-08,全球,C,"ESG具备基本阀门调节和远程自动化产品主张。","具体产品路由在2026-06-08返回404；未发现同等广度的现场总线和资产管理证据。"
ESG-PORTFOLIO-GAP-001,ESG 精锐,青岛精锐机械制造有限公司,产品缺口,测量与传感,GAP,"本轮官方资料未发现自有流量、压力、温度、液位或分析传感器产品族。",研究缺口,Official-site product review,https://www.esgvalve.com/,,2026-06-08,中国,D,"ESG无法仅凭公开资料被视为完整流体控制回路供应商。","缺少公开证据不等于公司绝对没有相关合作或集成能力。"
MARKET-PRICE-001,四家公司,不适用,价格与交期,价格,INTERNAL_VALIDATION,"本轮没有发现可在同规格、同认证、同交付条款下进行横向比较的中国公开价格和标准交期。",研究缺口,Public evidence gap,,,2026-06-08,中国,D,"价格和交付速度不纳入已证实优劣排序。","需用真实询报价、PO、交期和输单记录补充。"
BURKERT-2103-001,Bürkert,Christian Bürkert GmbH & Co. KG,代表产品系列,卫生隔膜阀,FACT,"Type 2103是气动二位二通卫生隔膜阀，官方页面将其用于卫生和无菌要求较高的介质控制。",官方产品页,Type 2103,https://www.burkert.com/en/type/2103,,2026-06-08,全球,A,"2103可作为Bürkert卫生隔膜阀的代表系列，但具体材质、表面、连接和认证须按配置确认。","系列级事实，不外推至全部配置。"
BURKERT-8741-001,Bürkert,Christian Bürkert GmbH & Co. KG,代表产品系列,流量控制,FACT,"Type 8741覆盖气体质量流量控制和测量，支持模拟量、现场总线或工业以太网通信；官方页面还列出多条校准曲线和快速MEMS传感器等特征。",官方产品页,Type 8741,https://www.burkert.com/en/type/8741,,2026-06-08,全球,A,"8741是发酵供气及设备气体配比方案的代表产品，实际适配须核对气体、流量、压力和校准范围。","USP Class VI、FDA等选项仅适用于官方注明的具体配置。"
BURKERT-8652-001,Bürkert,Christian Bürkert GmbH & Co. KG,代表产品系列,执行与控制,FACT,"Type 8652 AirLINE是面向过程自动化的阀岛，官方页面列出本地诊断显示、控制器消息、气动功能以及PROFINET S2等能力。",官方产品页,Type 8652,https://www.burkert.com/en/type/8652,,2026-06-08,全球,A,"8652支持Bürkert以集中气动和诊断能力参与制药设备自动化竞争。","防爆和冗余能力按具体版本确认。"
BURKERT-8098-001,Bürkert,Christian Bürkert GmbH & Co. KG,代表产品系列,测量与传感,FACT,"Type 8098 FLOWave采用SAW技术测量流量，并可同时输出温度；官方代表配置提供ASME BPE卡箍连接。",官方产品页,Type 8098 FLOWave,https://www.burkert.com/en/products/sensors-transmitters-and-controllers/flow/flowave-saw/569679,,2026-06-08,全球,A,"8098是制药用水和卫生流量测量的代表系列。","压力等级、口径、连接、精度和附加测量值须按具体订货号比较。"
GEMU-650-001,GEMÜ,GEMÜ Gebr. Müller Apparatebau GmbH & Co. KG,代表产品系列,卫生隔膜阀,FACT,"GEMÜ 650 BioStar采用不锈钢活塞执行器，提供常闭、常开和双作用控制方式，官方将其用于无菌应用并列出CIP/SIP能力。",官方产品页,GEMÜ 650,https://www.gemu-group.com/de-ch/produkte/ventiltechnik/membranventile/650,,2026-06-08,全球,A,"650是GEMÜ与Bürkert卫生气动隔膜阀正面比较的代表系列。","表面粗糙度、阀体材质、灭菌和高温能力须按具体配置确认。"
GEMU-649-001,GEMÜ,GEMÜ Gebr. Müller Apparatebau GmbH & Co. KG,代表产品系列,卫生隔膜阀,FACT,"GEMÜ 649 eSyDrive是电动隔膜阀系列，官方产品页将其归入隔膜阀并提供电动执行与控制能力。",官方产品页,GEMÜ 649 eSyDrive,https://www.gemu-group.com/de-de/produkte/ventiltechnik/membranventile/649/,,2026-06-08,全球,A,"649代表GEMÜ在去气源、电动化和调节型卫生阀场景中的竞争能力。","控制模式、通信、速度和卫生配置须以数据表及订货代码确认。"
GEMU-1441-001,GEMÜ,GEMÜ Gebr. Müller Apparatebau GmbH & Co. KG,代表产品系列,执行与控制,FACT,"GEMÜ 1441 cPos-X是智能数字电气定位器，可用于直行程和角行程执行器，官方页面列出LCD显示和移动端远程操作。",官方产品页,GEMÜ 1441 cPos-X,https://www.gemu-group.com/en-jp/products/measurement-and-control-technology/position-and-process-controllers/1441,,2026-06-08,全球,A,"1441证明GEMÜ不只是开关阀供应商，也可参与调节阀和阀门数字化竞争。","HART、蓝牙和故障位等功能须按版本确认。"
FUJIKIN-BNW-001,Fujikin,Fujikin Incorporated,代表产品系列,卫生隔膜阀,FACT,"BNWD-40PE-7H代表型号为40A自动隔膜阀，官方页面列出SUS316L、卡箍连接、Cv 27、最高0.6 MPa和-5至150摄氏度，并标注生物医药、食品及生命科学用途。",官方产品页,BNWD-40PE-7H,https://www.fujikin.co.jp/en/product/products/detail/4761,,2026-06-08,全球,A,"BNW可进入卫生隔膜阀参数级比较。","该数据只代表一个具体型号，不能外推全系列。"
FUJIKIN-FCS-001,Fujikin,Fujikin Incorporated,代表产品系列,流量控制,FACT,"FCS Thermal官方目录将其定义为质量流量控制器系列，属于Fujikin精密气体流量控制产品。",官方产品目录,FCS Thermal,https://www.fujikin.co.jp/support/pdf/fcste_fcs_thermal.pdf,,2026-06-08,全球,A,"FCS Thermal是Fujikin与Bürkert在气体质量流量控制领域的直接重叠点。","制药发酵中的中国安装和服务证据仍需内部或客户验证。"
FUJIKIN-MINUCON-001,Fujikin,Fujikin Incorporated,代表产品系列,控制阀,FACT,"MINUCON是微小流量控制阀系列，官方页面称其具有紧凑隔膜执行器、线性或等百分比特性，并提供极低Cv选项。",官方产品页,MINUCON E-Valves,https://www.fujikin.co.jp/support/minucon_e-valves/,,2026-06-08,全球,A,"MINUCON体现Fujikin在精密微流量调节中的单品深度。","最小Cv为企业产品规格主张，实际控制范围须结合介质和压差验证。"
ESG-100-001,ESG 精锐,青岛精锐机械制造有限公司,代表产品系列,角座阀,CLAIM,"ESG 100系列角座阀页面列出制药、灌装和灭菌应用，最高16 bar、PTFE密封以及螺纹、焊接、法兰和快装连接。",官方产品页,100 Series Angle Seat Valve,https://www.esgvalve.com/angle-seat-valve-100.html,,2026-06-08,全球,B,"100系列是ESG在CIP/SIP公用工程和设备阀门中的代表竞争产品。","温度上限和连接范围按具体版本确认；制药客户业绩未独立验证。"
ESG-801-001,ESG 精锐,青岛精锐机械制造有限公司,代表产品系列,疏水阀,CLAIM,"ESG 801热动力疏水阀页面列出PN42、DN8至DN25和不锈钢阀体，并给出不同口径的温度范围。",官方产品页,801 Series Thermodynamic Steam Trap,https://www.esgvalve.com/thermodynamic-steam-trap-801.html,,2026-06-08,全球,B,"801系列表明ESG可从卫生主工艺阀延伸到蒸汽和CIP/SIP公用工程。","不能仅凭产品存在推断其在洁净蒸汽系统中的合规性或项目安装量。"
ESG-SELECTION-001,ESG 精锐,青岛精锐机械制造有限公司,调节阀选型,阀门,CLAIM,"ESG精锐阀门公开视频号内容《阀门选型 / 调节阀选型四大要点》将调节阀选型概括为工况、流量、控制和环境四个维度，并称可帮助实现高精度稳定调控、避免调节失效安全隐患。",官方视频号,阀门选型 / 调节阀选型四大要点,https://weixin.qq.com/sph/AZgK204Nsd,2026-06-23,2026-06-23,中国,B,"ESG正在用选型教育内容强化调节阀应用场景表达。","公开视频接口可读取封面、作者和文案，但未返回视频流或逐字字幕；不支持具体参数、型号、价格或客户结论。"
BURKERT-CATALOG-002,Bürkert,Christian Bürkert GmbH & Co. KG,全量Type目录,全部,FACT,"Bürkert全球站robots.txt声明了独立Type sitemap；2026-06-08访问时该sitemap列出511个Type产品页。",官方站点地图,Bürkert Global Type Sitemap,https://www.burkert.com/GoogleSitemaps/website_com_en_Type_GoogleSitemap.xml,,2026-06-08,全球,A,"全量Type目录以该官方sitemap为发现边界，不通过猜测编号补充。","sitemap存在不代表每个Type在所有国家均可销售或有库存。"
BURKERT-CHINA-CATALOG-001,Bürkert,宝帝流体控制系统（上海）有限公司,中国产品可见性,全部,FACT,"Bürkert中国站robots.txt声明了独立Type sitemap；2026-06-08访问时该sitemap列出515个中国站Type页面。",中国官方站点地图,Bürkert China Type Sitemap,https://www.burkert.com.cn/GoogleSitemaps/website_cn_cn_Type_GoogleSitemap.xml,,2026-06-08,中国,A,"可用于判断Type是否在中国官网公开可见。","中国页面可见性不等于本地产、现货、短交期或正式可销售确认。"
BURKERT-TYPE-DOCS-001,Bürkert,Christian Bürkert GmbH & Co. KG,Type产品资料,全部,FACT,"官方Type页面提供产品名称、描述、分类路径以及可用的数据表、说明书、声明和软件链接；文档可按语言和地区版本区分。",官方产品页,Example Type page and document center,https://www.burkert.com/en/type/8741,,2026-06-08,全球,A,"Type页面和官方数据表作为目录名称、分类、参数与中文资料标记的主要证据。","页面级描述不等于全部Article Number配置；精确限制须核对具体数据表和订货代码。"
