series_id,spec_key,value_text,fact_status,source_url,accessed_date,notes
103,Seal or diaphragm,PTFE,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
103,Pressure,0-16 bar,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
103,Temperature,-10 to +180 C,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
103,Connections,Standard and quick-connect variants shown,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
103,Automation,Pneumatic; control pressure 3-8 bar,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
104/105/106,Seal or diaphragm,PTFE variants,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
104/105/106,Temperature,Pneumatic versions -10 to +180 C; selected high-temperature versions to +220 C,FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
104/105/106,Automation,"104/105 pneumatic; 106 electric, 4-20 mA or 0-10 V",FACT,https://www.esgvalve.cn/product/jiaozuofa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
1AA/1AS,Body material,CF8 or CF8M,FACT,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
1AA/1AS,Seal or diaphragm,PTFE,FACT,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
1AA/1AS,Pressure,0-7 bar,FACT,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
1AA/1AS,Temperature,-10 to +120 C,FACT,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
1AA/1AS,Connections,"BSP, BSPT or NPT threaded",FACT,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
1AA/1AS,Automation,Double-acting with or without spring,FACT,https://www.esgvalve.com/esg-tubeless-series-filling-valve-1aa.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
0P1,Body material,PA6-GF30 + PC enclosure,FACT,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
0P1,Pressure,Control pressure 3-7 bar,FACT,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
0P1,Temperature,0 to +60 C,FACT,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
0P1,Connections,G1/4 or M26x1.5,FACT,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
0P1,Automation,24 V DC; 0/4-20 mA or 0-5/10 V I/O; IP65,FACT,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
500,Automation,Self-actuating,FACT,https://www.esgvalve.com/,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
700/701,Body material,CF8M,FACT,https://www.esgvalve.com/product/pressure-valve.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
700/701,Pressure,PN25,FACT,https://www.esgvalve.com/product/pressure-valve.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
700/701,Temperature,-15 to +100 C,FACT,https://www.esgvalve.com/product/pressure-valve.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
700/701,Automation,Self-actuating,FACT,https://www.esgvalve.com/product/pressure-valve.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
800/801,Automation,Self-actuating,FACT,https://www.esgvalve.com/thermodynamic-steam-trap-801.html,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
901,Body material,CF8M,FACT,https://www.esgvalve.com/air-eliminator-float-type-901.html?d_id=167,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
901,Seal or diaphragm,FPM,FACT,https://www.esgvalve.com/air-eliminator-float-type-901.html?d_id=167,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
901,Pressure,Maximum 16 bar,FACT,https://www.esgvalve.com/air-eliminator-float-type-901.html?d_id=167,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
901,Temperature,-20 to +200 C,FACT,https://www.esgvalve.com/air-eliminator-float-type-901.html?d_id=167,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
901,Automation,Self-actuating float,FACT,https://www.esgvalve.com/air-eliminator-float-type-901.html?d_id=167,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
T-VALVE,Body material,Stainless steel,FACT,https://www.esgvalve.com/,2026-06-09,Transcribed from the indexed official product page; page returned HTTP 403 to direct automation.
A00,Compliance claim,Company states diaphragms passed FDA and USP and valves passed EC 1935/2004.,CLAIM,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,"CLAIM: obtain certificate originals, issuer, date, material grade and applicable model scope."
A00,Diaphragm endurance claim,Company states PTFE diaphragms withstand one million bending cycles.,CLAIM,https://www.esgvalve.com/diaphragm-valve-a00.html,2026-06-09,"CLAIM: test method, pressure, temperature and failure criteria were not independently verified."
A31,Compliance claim,Company states the valve diaphragm is certified to FDA and USP.,CLAIM,https://www.esgvalve.com/dual-port-manual-aseptic-sampling-valve-a31.html,2026-06-09,CLAIM: certificate originals and exact material/application scope are required.
0P1,Explosion protection claim,Official page states Ex nA IIC T4.,CLAIM,https://www.esgvalve.com/split-intelligent-regulating-locator-0p1.html,2026-06-09,"CLAIM: certificate, notified body and product configuration require verification."
