series_id,spec_key,value_text,source_url,accessed_date,notes
1205,Ambient temperature,-20 Up to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,Exact text from the official product-page technical details table.
1205,Conformities,ATEX,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,Exact text from the official product-page technical details table.
1205,Electrical connection type,M20 cable gland,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,Exact text from the official product-page technical details table.
1205,Linear measuring range,2 to 70 mm,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,Exact text from the official product-page technical details table.
1205,Protection class,IP 65,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,Exact text from the official product-page technical details table.
1205,Supply voltages,250 V AC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,Exact text from the official product-page technical details table.
1205,Switch types,Microswitch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1205,2026-06-09,Exact text from the official product-page technical details table.
1215,Ambient temperature,-15 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,Exact text from the official product-page technical details table.
1215,Conformities,ATEX EAC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,Exact text from the official product-page technical details table.
1215,Electrical connection types,PG 11 cable gland M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,Exact text from the official product-page technical details table.
1215,Protection class,IP 65,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,Exact text from the official product-page technical details table.
1215,Supply voltages,"230 V AC, 50/60 Hz 24 V DC",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,Exact text from the official product-page technical details table.
1215,Switch types,Microswitch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1215,2026-06-09,Exact text from the official product-page technical details table.
1232,Ambient temperature,-20 Up to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,Exact text from the official product-page technical details table.
1232,Conformities,CSA EAC UL Recognized,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,Exact text from the official product-page technical details table.
1232,Electrical connection type,M16 cable gland M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,Exact text from the official product-page technical details table.
1232,Linear measuring range,2 to 20 mm,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,Exact text from the official product-page technical details table.
1232,Protection class,IP 65,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,Exact text from the official product-page technical details table.
1232,Supply voltages,10 - 30 V DC 8 V NAMUR,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,Exact text from the official product-page technical details table.
1232,Switch types,2-wire proximity switch (NAMUR) 3-wire proximity switch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1232,2026-06-09,Exact text from the official product-page technical details table.
1234,Ambient temperature,-10 to 70 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1234,2026-06-09,Exact text from the official product-page technical details table.
1234,Electrical connection type,M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1234,2026-06-09,Exact text from the official product-page technical details table.
1234,Linear measuring range,1 to 10 mm,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1234,2026-06-09,Exact text from the official product-page technical details table.
1234,Protection class,IP 67,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1234,2026-06-09,Exact text from the official product-page technical details table.
1234,Supply voltages,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1234,2026-06-09,Exact text from the official product-page technical details table.
1236,Ambient temperature,-10 to 70 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,Exact text from the official product-page technical details table.
1236,Communication modes,IO-Link None,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,Exact text from the official product-page technical details table.
1236,Conformities,EAC FMEDA UL listed,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,Exact text from the official product-page technical details table.
1236,Electrical connection types,M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,Exact text from the official product-page technical details table.
1236,Linear measuring range,"2,0 to 74,4 mm",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,Exact text from the official product-page technical details table.
1236,Protection class,IP 67,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,Exact text from the official product-page technical details table.
1236,Supply voltages,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1236,2026-06-09,Exact text from the official product-page technical details table.
1240,Electrical connection type,M16 cable gland M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1240,2026-06-09,Exact text from the official product-page technical details table.
1240,Linear measuring range,5 to 75 mm,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1240,2026-06-09,Exact text from the official product-page technical details table.
1240,Supply voltages,24 V DC 250 V AC 8 V NAMUR,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1240,2026-06-09,Exact text from the official product-page technical details table.
1240,Switch types,Microswitch 2-wire proximity switch (NAMUR) 3-wire proximity switch,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1240,2026-06-09,Exact text from the official product-page technical details table.
1241,Ambient temperature,0 Up to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,Exact text from the official product-page technical details table.
1241,Conformities,ATEX IECEx,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,Exact text from the official product-page technical details table.
1241,Electrical connection type,M16 cable gland M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,Exact text from the official product-page technical details table.
1241,Linear measuring range,5 to 75 mm,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,Exact text from the official product-page technical details table.
1241,Protection class,IP 67,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,Exact text from the official product-page technical details table.
1241,Supply voltages,8 V NAMUR,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,Exact text from the official product-page technical details table.
1241,Switch types,2-wire proximity switch (NAMUR),https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1241,2026-06-09,Exact text from the official product-page technical details table.
1242,Ambient temperature,0 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
1242,Communication modes,AS-Interface DeviceNet IO-Link,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
1242,Conformities,ATEX CSA EAC ETL Listed C US FMEDA IECEx NEC 500,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
1242,Electrical connection types,M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
1242,Linear measuring range,2 to 75 mm,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
1242,Protection class,IP 67,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
1242,Radial measuring range,0 to 90°,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
1242,Supply voltages,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/1242,2026-06-09,Exact text from the official product-page technical details table.
12A0,Ambient temperature,-20 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/12a0,2026-06-09,Exact text from the official product-page technical details table.
12A0,Communication modes,IO-Link/SIO mode (24 V DC signals),https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/12a0,2026-06-09,Exact text from the official product-page technical details table.
12A0,Electrical connection types,M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/12a0,2026-06-09,Exact text from the official product-page technical details table.
12A0,Protection class,"IP 65, IP 67",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/12a0,2026-06-09,Exact text from the official product-page technical details table.
12A0,Supply voltages,18 - 30 V DC 24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-feedback-devices-and-valve-connections/12a0,2026-06-09,Exact text from the official product-page technical details table.
1434,Ambient temperature,0 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1434,Conformity,EAC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1434,Electrical connection types,M12 connector,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1434,Flow rate,15 Nl/min,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1434,Measuring range,"Max. 30 mm, linear",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1434,Mode of action,Single acting,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1434,Operating pressure,0 to 10 bar,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1434,Supply voltage,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1434,2026-06-09,Exact text from the official product-page technical details table.
1435,Ambient temperature,-20 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1435,Conformity,EAC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1435,Electrical connection types,M12 cable gland M12 connector,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1435,Flow rate,50 Nl/min 90 Nl/min,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1435,Measuring range,"Max. 30 mm, linear Max. 50 mm, linear Max. 75 mm, linear Max. 90°, radial",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1435,Mode of action,Double acting Single acting,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1435,Operating pressure,0 to 6 bar,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1435,Supply voltage,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1435,2026-06-09,Exact text from the official product-page technical details table.
1436,Ambient temperature,0 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436,Conformity,EAC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436,Electrical connection types,M12 connector,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436,Flow rate,100 Nl/min 172 Nl/min 84 Nl/min,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436,Measuring range,"Max. 30 mm, linear Max. 50 mm, linear Max. 75 mm, linear Max. 90°, radial",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436,Mode of action,Double acting Single acting,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436,Operating pressure,"1,5 to 7 bar",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436,Supply voltage,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Ambient temperature,0 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Conformity,EAC UL listed,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Electrical connection types,M12 connector,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Flow rate,100 Nl/min 84 Nl/min,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Measuring range,"Max. 30 mm, linear Max. 50 mm, linear Max. 75 mm, linear Max. 90°, radial",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Mode of action,Single acting,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Operating pressure,"1,5 to 7 bar",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1436-ECO,Supply voltage,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1436-eco,2026-06-09,Exact text from the official product-page technical details table.
1441,Ambient temperature,-10 to 60 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Communication modes,BLE HART,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Conformity,ATEX FCC HART IECEx UL listed UL Recognized,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Electrical connection types,M16 cable gland M12 plug,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Flow rate,115 Nl/min,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Linear measuring range,2 to 75 mm,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Mode of action,Double acting Single acting,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Operating pressure,"1,5 to 7 bar",https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Radial measuring range,0 to 90°,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
1441,Supply voltage,Via set value signal,https://www.gemu-group.com/en/products/measurement-and-control-technology/position-and-process-controllers/1441,2026-06-09,Exact text from the official product-page technical details table.
202,Ambient temperature,10 to 40 °C,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Body materials,"PVC-U, grey PVDF",https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Conformities,UL Recognized US,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Connection standards,DIN ISO,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Connection types,thread,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Media temperature,-20 to 100 °C,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Nominal sizes,DN 10 to 15,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Operating pressure,0 to 2 bar,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Protection class,IP 65,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
202,Supply voltages,"120 V AC, 50/60 Hz 230 V AC, 50/60 Hz 24 V AC, 50/60 Hz 24 V DC",https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,Exact text from the official product-page technical details table.
205,Ambient temperature,10 to 40 °C,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
205,Body materials,"PVC-U, grey PVDF",https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
205,Connection standards,DIN ISO,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
205,Connection types,Solvent cement socket Spigot Threaded connection Union end,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
205,Media temperature,-20 to 60 °C,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
205,Nominal sizes,DN 10 to 50,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
205,Operating pressure,0 to 6 bar,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
205,Supply voltages,"120 V AC, 50/60 Hz 230 V AC, 50/60 Hz 24 V AC, 50/60 Hz 24 V DC",https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,Exact text from the official product-page technical details table.
3020,Conformities,EAC,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Connection types,Union end,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Electrical connection types,"Plug, design A",https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Error of measurement,± 1 % of final value,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Measuring range - Liquids,120 Up to 25000 l/h,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Media temperature,-20 to 80 °C,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Metering tube materials,PVC-U PVDF,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Nominal sizes,DN 25 to 50,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Operating pressure,0 to 10 bar,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
3020,Supply voltages,24 V DC,https://www.gemu-group.com/en/products/measurement-and-control-technology/flow-meters/3020,2026-06-09,Exact text from the official product-page technical details table.
314,Ambient temperature,-10 Up to 60 °C,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Body configurations,Multi-port body,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Body materials,"CC499K, cast bronze material",https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Connection standards,ANSI DIN EN ISO,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Connection types,thread,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Media temperature,-10 to 180 °C,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Nominal sizes,DN 15 to 50,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Operating pressure,0 Up to 16 bar,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
314,Seat seal materials,"PTFE PTFE, reinforced",https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,Exact text from the official product-page technical details table.
411,Ambient temperature,-10 to 60 °C,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Conformities,EAC FDA Functional safety,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Connection standards,ASME DIN EN ISO SMS,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Connection types,Clamp Spigot thread,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Disc materials,"1.4408, investment casting material",https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Housing materials,"1.4408, investment casting material",https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Liner materials,EPDM FKM Silicone,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Media temperature,-20 to 160 °C,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Nominal sizes,DN 15 to 50,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
411,Operating pressure,0 to 10 bar,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/411,2026-06-09,Exact text from the official product-page technical details table.
415,Ambient temperature,0 to 60 °C,https://www.gemu-group.com/en/products/valve-technology/butterfly-valves/415,2026-06-09,Exact text from the official product-page technical details table.
