evidence_id,company,record_id,topic,fact_status,summary,source_type,source_title,source_url,accessed_date,evidence_grade,supports_conclusion,notes
FUJIKIN-SERIES-FUN-FUE-FUH-46ADB9F8,Fujikin,FUN-FUE-FUH-46ADB9F8,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists FINE series PURE Standard series with model code(s) FUN FUE FUH.,官方产品目录,FINE series PURE Standard series,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PDS-PDWVP-433F234E,Fujikin,PDS-PDWVP-433F234E,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Brass Needle Stop Valves Bulkhead Type with model code(s) PDS PDWVP.,官方产品目录,Brass Needle Stop Valves Bulkhead Type,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_14.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUH-134-CA967EA3,Fujikin,PUH-134-CA967EA3,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Stainless Steel Bonnetless Type Stop Valves 34MPa Type with model code(s) PUH-134.,官方产品目录,Stainless Steel Bonnetless Type Stop Valves 34MPa Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUH-916-F21D708C,Fujikin,PUH-916-F21D708C,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists SUS316 Female Threaded Needle Stop Valves with model code(s) PUH-916.,官方产品目录,SUS316 Female Threaded Needle Stop Valves,https://www.fujikin.co.jp/support/pdf/702_p_needle_stop_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUN-UN-DUN-8CF4A2FF,Fujikin,PUN-UN-DUN-8CF4A2FF,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Minute Flow Control Valves Cv 0.004 Type with model code(s) PUN UN DUN.,官方产品目录,Minute Flow Control Valves Cv 0.004 Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUS-142-909C5E78,Fujikin,PUS-142-909C5E78,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Stainless Steel Male Threaded Stop Valves 42MPa Type with model code(s) PUS-142.,官方产品目录,Stainless Steel Male Threaded Stop Valves 42MPa Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUS-916-78AA66E1,Fujikin,PUS-916-78AA66E1,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists SUS316 Female Threaded Needle Stop Valves with model code(s) PUS-916.,官方产品目录,SUS316 Female Threaded Needle Stop Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-RV-6-96A69CEB,Fujikin,RV-6-96A69CEB,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Ring Joints & Miniature Valves with model code(s) RV-6.,官方产品目录,Ring Joints & Miniature Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UH-11500HP-D5D384B3,Fujikin,UH-11500HP-D5D384B3,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings with model code(s) UH-11500HP.,官方产品目录,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UH-14-UN-116-UE-19-6B3635E9,Fujikin,UH-14-UN-116-UE-19-6B3635E9,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Stainless Steel Needle Valves Average／Small／Minute Adjustments with model code(s) UH-14 UN-116 UE-19.,官方产品目录,Stainless Steel Needle Valves Average／Small／Minute Adjustments,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UH-7100L-3C146776,Fujikin,UH-7100L-3C146776,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Valves & Fittings for Ultra High-Pressure Hydrogen Gas with model code(s) UH-7100L.,官方产品目录,Valves & Fittings for Ultra High-Pressure Hydrogen Gas,https://www.fujikin.co.jp/support/pdf/hyd1e_hyd.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UN-115-UN-130-UN-150-953E87EE,Fujikin,UN-115-UN-130-UN-150-953E87EE,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists MINUCON Diaphragm Type Mini Control Valves with model code(s) UN-115 UN-130 UN-150.,官方产品目录,MINUCON Diaphragm Type Mini Control Valves,https://www.fujikin.co.jp/support/pdf/minue_minucon.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UN-14M-B0DBE74B,Fujikin,UN-14M-B0DBE74B,Manual Valves / 1-1. Globe Valves,FACT,"The current official catalogue index lists Stainless Steel Needle Valves, Average／Small／Minute Adjustments UN-14M with model code(s) UN-14M.",官方产品目录,"Stainless Steel Needle Valves, Average／Small／Minute Adjustments UN-14M",https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-US-127P-0A0BF600,Fujikin,US-127P-0A0BF600,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Needle Stop Valves US-valves Manben Kun 26.5MPa Stainless Steel with model code(s) US-127P.,官方产品目录,Needle Stop Valves US-valves Manben Kun 26.5MPa Stainless Steel,https://www.fujikin.co.jp/support/pdf/115_new_us-valves_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-US-13P-4D94B86C,Fujikin,US-13P-4D94B86C,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Stainless Steel Needle Valves Average／Small／Minute Adjustments with model code(s) US-13P.,官方产品目录,Stainless Steel Needle Valves Average／Small／Minute Adjustments,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-VUH-941P-D4FDC336,Fujikin,VUH-941P-D4FDC336,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists V-Series Union-Bonnet Needle Valves VUH Series with model code(s) VUH-941P.,官方产品目录,V-Series Union-Bonnet Needle Valves VUH Series,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_13.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FUD-0737D1B7,Fujikin,FUD-0737D1B7,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists FINE series PURE Standard series with model code(s) FUD.,官方产品目录,FINE series PURE Standard series,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUD-134-2F96308C,Fujikin,PUD-134-2F96308C,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Stainless Steel Bonnetless Type Stop Valves 34MPa Type with model code(s) PUD-134.,官方产品目录,Stainless Steel Bonnetless Type Stop Valves 34MPa Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UD-11500HP-6BCADA6D,Fujikin,UD-11500HP-6BCADA6D,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings with model code(s) UD-11500HP.,官方产品目录,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-VUK-11-CC34AE85,Fujikin,VUK-11-CC34AE85,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists Toggle Valves with model code(s) VUK-11.,官方产品目录,Toggle Valves,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_17.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-VUK-91P-5BA55FB5,Fujikin,VUK-91P-5BA55FB5,Manual Valves / 1-1. Globe Valves,FACT,The current official catalogue index lists V-Series Toggle Valves VUK Series with model code(s) VUK-91P.,官方产品目录,V-Series Toggle Valves VUK Series,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_17.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-DH-32-DUE-32-BH-31-4546EB5B,Fujikin,DH-32-DUE-32-BH-31-4546EB5B,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Brass／Bronze Needle Valves with model code(s) DH-32 DUE-32 BH-31.,官方产品目录,Brass／Bronze Needle Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-DS-31-BC316D8B,Fujikin,DS-31-BC316D8B,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Brass／Bronze Needle Valves with model code(s) DS-31.,官方产品目录,Brass／Bronze Needle Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FUN-35-FUE-35-FUH-35-3486B101,Fujikin,FUN-35-FUE-35-FUH-35-3486B101,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists FINE series PURE Standard series with model code(s) FUN-35 FUE-35 FUH-35.,官方产品目录,FINE series PURE Standard series,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUH-016-A648DCC4,Fujikin,PUH-016-A648DCC4,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists SUS316 Female Threaded Needle Stop Valves with model code(s) PUH-016.,官方产品目录,SUS316 Female Threaded Needle Stop Valves,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_10.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUN-UN-DUN-574C0E9B,Fujikin,PUN-UN-DUN-574C0E9B,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Minute Flow Control Valves Cv 0.004 Type with model code(s) PUN UN DUN.,官方产品目录,Minute Flow Control Valves Cv 0.004 Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUS-016-26400A90,Fujikin,PUS-016-26400A90,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists SUS316 Female Threaded Needle Stop Valves with model code(s) PUS-016.,官方产品目录,SUS316 Female Threaded Needle Stop Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-RA-6-D14A8B11,Fujikin,RA-6-D14A8B11,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Ring Joints & Miniature Valves with model code(s) RA-6.,官方产品目录,Ring Joints & Miniature Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UH-31500HP-D81A88DC,Fujikin,UH-31500HP-D81A88DC,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings with model code(s) UH-31500HP.,官方产品目录,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UH-33-DH-31-FE868CCD,Fujikin,UH-33-DH-31-FE868CCD,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Female Threaded Needle Stop Valves Economy Type with model code(s) UH-33 DH-31.,官方产品目录,Female Threaded Needle Stop Valves Economy Type,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UN-04M-B1ECA1BA,Fujikin,UN-04M-B1ECA1BA,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Stainless Steel Needle Valves Average／Small／Minute Adjustments with model code(s) UN-04M.,官方产品目录,Stainless Steel Needle Valves Average／Small／Minute Adjustments,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UN-34M-FC2894BA,Fujikin,UN-34M-FC2894BA,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Stainless Steel Needle Valves Average／Small／Minute Adjustments with model code(s) UN-34M.,官方产品目录,Stainless Steel Needle Valves Average／Small／Minute Adjustments,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-US-327P-EB912110,Fujikin,US-327P-EB912110,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Needle Stop Valves US-valves Manben Kun 26.5MPa Stainless Steel with model code(s) US-327P.,官方产品目录,Needle Stop Valves US-valves Manben Kun 26.5MPa Stainless Steel,https://www.fujikin.co.jp/support/pdf/115_new_us-valves_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-US-33P-56DBCAB3,Fujikin,US-33P-56DBCAB3,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Stainless Steel Needle Valves Average／Small／Minute Adjustments with model code(s) US-33P.,官方产品目录,Stainless Steel Needle Valves Average／Small／Minute Adjustments,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FUD-35-722A3331,Fujikin,FUD-35-722A3331,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists FINE series PURE Standard series with model code(s) FUD-35.,官方产品目录,FINE series PURE Standard series,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UD-31500HP-4A1B4AEA,Fujikin,UD-31500HP-4A1B4AEA,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings with model code(s) UD-31500HP.,官方产品目录,Male Threaded Panel Mount Shape Disc & Needle Stop Valves Clean Couplings,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UK-31-3E5F15CC,Fujikin,UK-31-3E5F15CC,Manual Valves / 1-2. Angle Valves,FACT,The current official catalogue index lists Toggle Valves with model code(s) UK-31.,官方产品目录,Toggle Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-VUP-920-2B93BF6E,Fujikin,VUP-920-2B93BF6E,Manual Valves / 1-3. Plug Valves,FACT,The current official catalogue index lists V-Series Plug Valves VUP Series with model code(s) VUP-920.,官方产品目录,V-Series Plug Valves VUP Series,https://www.fujikin.co.jp/support/pdf/newve_new-v-collection_08.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance LOW.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-8A-12-7-0AC0047E,Fujikin,8A-12-7-0AC0047E,Manual Valves / 1-4. Ball Valves,FACT,"The current official catalogue index lists VUBV-168,968P with model code(s) 8A 12.7.",官方产品目录,"VUBV-168,968P",https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-CBV3-99F9A97C,Fujikin,CBV3-99F9A97C,Manual Valves / 1-4. Ball Valves,FACT,The current official catalogue index lists Fine Ceramic Valves COSMIX™ with model code(s) CBV3.,官方产品目录,Fine Ceramic Valves COSMIX™,https://www.fujikin.co.jp/support/pdf/133_cosmix_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-FUBV-FUBVT-74DF449C,Fujikin,FUBV-FUBVT-74DF449C,Manual Valves / 1-4. Ball Valves,FACT,The current official catalogue index lists FINE series PURE Standard series with model code(s) FUBV FUBVT.,官方产品目录,FINE series PURE Standard series,https://www.fujikin.co.jp/support/pdf/fu05e_pure_standard.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUBV-15-95-PUBVT-15-95-D104DD76,Fujikin,PUBV-15-95-PUBVT-15-95-D104DD76,Manual Valves / 1-4. Ball Valves,FACT,"The current official catalogue index lists Panel Mount Type Ball Valves Compact & Lightweight 4.9MPa with model code(s) PUBV-15, 95 PUBVT-15, 95.",官方产品目录,Panel Mount Type Ball Valves Compact & Lightweight 4.9MPa,https://www.fujikin.co.jp/support/pdf/703_p_ball_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-PUBV-94-211F3F1F,Fujikin,PUBV-94-211F3F1F,Manual Valves / 1-4. Ball Valves,FACT,The current official catalogue index lists Ball Valves With 4 Colored Handle Mini Ball Valves 3.92MPa with model code(s) PUBV-94.,官方产品目录,Ball Valves With 4 Colored Handle Mini Ball Valves 3.92MPa,https://www.fujikin.co.jp/support/pdf/704_p_mini_ball_eng.pdf,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UBV-DBV-CF3DEB1A,Fujikin,UBV-DBV-CF3DEB1A,Manual Valves / 1-4. Ball Valves,FACT,The current official catalogue index lists Compact Type Ball Valves with model code(s) UBV DBV.,官方产品目录,Compact Type Ball Valves,https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
FUJIKIN-SERIES-UBV-21-JIS10R-ALX-D1FA3516,Fujikin,UBV-21-JIS10R-ALX-D1FA3516,Manual Valves / 1-4. Ball Valves,FACT,"The current official catalogue index lists Flange, Butt Weld Type JIS10K Ball Valves with model code(s) UBV-21-JIS10R-ALX.",官方产品目录,"Flange, Butt Weld Type JIS10K Ball Valves",https://www.fujikin.co.jp/en/support/download/,2026-06-09,A,Fujikin current series catalogue; pharma relevance MEDIUM.,Series-level catalogue row. Model codes may cover multiple variants; do not treat them as interchangeable.
